iter	Passed	Remaining
439	17597	22396
440	17638	22357
441	17698	22343
442	17780	22355
443	17852	22355
444	17890	22312
445	17926	22267
446	17965	22225
447	18011	22193
448	18050	22150
449	18087	22107
450	18127	22067
451	18163	22021
452	18201	21978
453	18243	21940
454	18280	21896
455	18319	21854
456	18356	21811
457	18393	21766
458	18431	21724
459	18470	21682
460	18511	21643
461	18548	21599
462	18586	21557
463	18626	21516
464	18663	21472
465	18704	21434
466	18745	21394
467	18783	21352
468	18821	21309
469	18858	21266
470	18921	21251
471	18989	21242
472	19045	21220
473	19084	21178
474	19119	21132
475	19162	21094
476	19198	21050
477	19235	21006
478	19277	20967
479	19315	20924
480	19352	20881
481	19392	20841
482	19439	20807
483	19480	20768
484	19517	20725
485	19558	20685
486	19596	20642
487	19639	20605
488	19678	20563
489	19714	20519
490	19757	20481
491	19794	20438
492	19837	20400
493	19879	20362
494	19918	20321
495	19961	20283
496	19998	20240
497	20040	20201
498	20087	20167
499	20126	20126
500	20165	20084
501	20203	20042
502	20246	20004
503	20293	19971
504	20341	19938
505	20379	19895
506	20420	19856
507	20464	19819
508	20504	19779
509	20557	19751
510	20593	19707
511	20630	19663
512	20668	19621
513	20712	19583
514	20753	19544
515	20790	19500
516	20832	19462
517	20896	19443
518	20949	19415
519	20998	19383
520	21034	19338
521	21070	19294
522	21105	19249
523	21143	19206
524	21178	19161
525	21213	19116
526	21250	19072
527	21287	19030
528	21326	18988
529	21361	18943
530	21398	18900
531	21456	18875
532	21521	18856
533	21590	18841
534	21659	18825
535	21717	18800
536	21753	18756
537	21788	18710
538	21826	18667
539	21861	18623
540	21896	18577
541	21931	18532
542	21966	18487
543	22001	18442
544	22036	18397
545	22074	18354
546	22109	18309
547	22146	18266
548	22182	18222
549	22217	18177
550	22253	18134
551	22289	18090
552	22325	18046
553	22360	18001
554	22394	17955
555	22429	17911
556	22465	17867
557	22501	17823
558	22536	17779
559	22570	17733
560	22604	17688
561	22638	17643
562	22674	17599
563	22718	17562
564	22759	17522
565	22795	17479
566	22832	17436
567	22867	17392
568	22904	17349
569	22940	17306
570	22976	17262
571	23011	17218
572	23048	17175
573	23085	17133
574	23121	17089
575	23160	17048
576	23196	17005
577	23232	16962
578	23268	16918
579	23305	16876
580	23347	16837
581	23392	16800
582	23429	16758
583	23470	16718
584	23506	16675
585	23542	16632
586	23580	16590
587	23616	16547
588	23653	16505
589	23691	16463
590	23727	16420
591	23763	16377
592	23800	16335
593	23838	16293
594	23875	16251
595	23923	16216
596	23972	16182
597	24030	16154
598	24078	16119
599	24122	16081
600	24164	16042
601	24207	16004
602	24243	15961
603	24283	15921
604	24323	15880
605	24369	15844
606	24417	15809
607	24470	15776
608	24523	15745
609	24566	15706
610	24612	15669
611	24653	15629
612	24690	15587
613	24740	15553
614	24786	15516
615	24831	15479
616	24877	15442
617	24924	15406
618	24965	15366
619	25001	15323
620	25035	15279
621	25069	15235
622	25105	15192
623	25153	15156
624	25211	15126
625	25275	15100
626	25351	15081
627	25432	15064
628	25509	15045
629	25558	15010
630	25595	14967
631	25631	14924
632	25668	14882
633	25710	14842
634	25754	14803
635	25790	14760
636	25826	14717
637	25863	14675
638	25901	14632
639	25937	14590
640	25978	14549
641	26019	14509
642	26054	14465
643	26090	14422
644	26125	14379
645	26161	14335
646	26196	14292
647	26231	14249
648	26278	14212
649	26345	14186
650	26411	14159
651	26481	14134
652	26518	14091
653	26553	14048
654	26595	14008
655	26631	13965
656	26665	13921
657	26707	13881
658	26742	13837
659	26777	13794
660	26813	13751
661	26847	13707
662	26882	13664
663	26920	13622
664	26954	13578
665	26990	13535
666	27027	13493
667	27060	13449
668	27095	13406
669	27129	13362
670	27164	13319
671	27199	13276
672	27246	13238
673	27316	13212
674	27372	13179
675	27437	13150
676	27489	13115
677	27528	13074
678	27563	13030
679	27598	12987
680	27633	12944
681	27669	12901
682	27703	12857
683	27737	12814
684	27772	12771
685	27806	12727
686	27841	12684
687	27875	12641
688	27911	12598
689	27946	12555
690	27980	12512
691	28014	12469
692	28048	12425
693	28083	12382
694	28124	12342
695	28159	12299
696	28194	12256
697	28227	12213
698	28264	12170
699	28300	12128
700	28340	12087
701	28375	12045
702	28411	12003
703	28446	11960
704	28484	11919
705	28521	11877
706	28558	11835
707	28594	11793
708	28630	11751
709	28666	11708
710	28709	11669
711	28748	11628
712	28784	11586
713	28819	11543
714	28854	11501
715	28889	11459
716	28925	11416
717	28963	11375
718	29008	11337
719	29045	11295
720	29079	11252
721	29113	11209
722	29147	11167
723	29183	11125
724	29218	11082
725	29252	11040
726	29288	10998
727	29327	10957
728	29360	10914
729	29396	10872
730	29431	10830
731	29469	10789
732	29505	10747
733	29540	10705
734	29573	10662
735	29608	10620
736	29643	10578
737	29677	10535
738	29711	10493
739	29744	10450
740	29779	10408
741	29813	10366
742	29851	10325
743	29886	10283
744	29926	10243
745	29961	10201
746	29997	10159
747	30035	10118
748	30070	10076
749	30107	10035
750	30144	9994
751	30179	9952
752	30214	9911
753	30252	9870
754	30290	9829
755	30325	9787
756	30359	9745
757	30393	9703
758	30428	9661
759	30464	9620
760	30503	9579
761	30541	9539
762	30577	9497
763	30617	9457
764	30662	9419
765	30713	9382
766	30757	9343
767	30798	9303
768	30843	9265
769	30890	9227
770	30935	9188
771	30982	9150
772	31027	9111
773	31064	9070
774	31114	9033
775	31164	8995
776	31201	8954
777	31237	8913
778	31274	8872
779	31309	8830
780	31346	8789
781	31384	8749
782	31422	8708
783	31462	8668
784	31475	8620
785	31520	8581
786	31571	8544
787	31596	8500
788	31649	8463
789	31700	8426
790	31773	8395
791	31827	8358
792	31863	8317
793	31900	8276
794	31906	8227
795	31944	8186
796	31980	8145
797	32017	8104
798	32055	8064
799	32091	8022
800	32130	7982
801	32170	7942
802	32221	7904
803	32262	7864
804	32309	7826
805	32345	7785
806	32382	7744
807	32419	7703
808	32457	7662
809	32501	7623
810	32578	7592
811	32640	7557
812	32681	7517
813	32720	7476
814	32779	7440
815	32819	7400
816	32857	7359
817	32894	7318
818	32931	7277
819	32969	7237
820	33007	7196
821	33045	7155
822	33083	7115
823	33120	7074
824	33161	7034
825	33202	6994
826	33263	6958
827	33333	6924
828	33378	6885
829	33416	6844
830	33454	6803
831	33493	6763
832	33529	6722
833	33568	6681
834	33608	6641
835	33646	6600
836	33688	6560
837	33747	6524
838	33794	6485
839	33834	6444
840	33871	6403
841	33910	6363
842	33947	6322
843	33987	6282
844	34024	6241
845	34065	6200
846	34104	6160
847	34147	6120
848	34223	6086
849	34278	6049
850	34316	6008
851	34352	5967
852	34391	5926
853	34428	5885
854	34467	5845
855	34509	5805
856	34548	5764
857	34586	5724
858	34631	5684
859	34689	5647
860	34727	5606
861	34762	5565
862	34803	5525
863	34842	5484
864	34878	5443
865	34916	5402
866	34952	5361
867	34989	5320
868	35030	5280
869	35073	5240
870	35109	5199
871	35145	5158
872	35204	5121
873	35278	5085
874	35316	5045
875	35354	5004
876	35392	4963
877	35429	4923
878	35480	4884
879	35517	4843
880	35557	4802
881	35602	4763
882	35667	4726
883	35704	4685
884	35739	4644
885	35773	4602
886	35809	4561
887	35845	4521
888	35883	4480
889	35923	4440
