client_id,month,age,occupation,annual_income,monthly_salary,number_bank_accounts,number_credit_cards,interest_rate,number_loan,delay_from_due_date,number_delayed_payment,number_credit_inquiries,unpaid_debt,credit_utilization_ratio,credit_history_age,min_amount_payment,monthy_amount_invested,client_behaviour,monthly_balance
ae93769616,Август,34.0,Инженер,142624.12000000002,12118.56,1,5,8.0,3.0,8,6.0,3.0,1303.01,38.068623627698585,18 г. 3 м.,No,263.17416316163934,"Большие траты, малые платежи",966.4155173846187
ae93769616,Сентябрь,34.0,Инженер,142943.17,12156.449999999999,1,5,8.0,3.0,8,6.0,3.0,1303.01,38.37475294778511,18 г. 4 м.,No,,"Большие траты, малые платежи",894.154583180492
26706df7bc,Февраль,33.0,Юрист,130628.82999999999,11171.563333333334,0,1,8.0,2.0,0,3.0,2.0,352.16,32.200508995391914,30 г. 7 м.,NM,378.1712535207537,"Большие траты, средние платежи",854.012474411158
26706df7bc,Март,34.0,Юрист,130677.11,11155.783333333333,0,1,8.0,2.0,-1,2.0,4.0,352.16,31.98371000755867,30 г. 8 м.,No,698.8732707169384,"Большие траты, малые платежи",544.0104572149734
26706df7bc,Апрель,34.0,Юрист,130883.59999999999,10371.147759388816,0,1,8.0,2.0,0,3.0,4.0,352.16,31.803134495092277,30 г. 9 м.,NM,188.06432109973838,"Большие траты, большие платежи",1037.5294068321734
26706df7bc,Май,34.0,Юрист,130752.0,10437.087759388814,0,1,8.0,2.0,0,2.0,4.0,352.16,42.64578489930634,30 г. 10 м.,No,337.43495631738324,"Большие траты, средние платежи",892.8287716145285
26706df7bc,Июнь,34.0,Юрист,131301.77,10390.367759388815,0,1,8.0,2.0,0,4.0,4.0,352.16,40.902517150451615,30 г. 11 м.,No,263.3789089320552,"Большие траты, большие платежи",959.6348189998564
26706df7bc,Июль,34.0,Юрист,130415.43999999999,,0,1,8.0,,0,,4.0,352.16,41.98016961054943,31 г. 0 м.,No,86.56638801207531,"Большие траты, большие платежи",1131.9773399198366
26706df7bc,Август,,Юрист,10908635.88,,0,1,8.0,2.0,0,,4.0,352.16,26.94756515223988,31 г. 1 м.,No,930.3918977796665,,321.2218301522453
26706df7bc,Сентябрь,34.0,Юрист,130474.70999999999,10374.547759388815,0,1,8.0,2.0,0,2.0,4.0,352.16,29.18791265416669,31 г. 2 м.,No,870.52238171816,"Малые траты, средние платежи",387.9313462137519
82c2dee2fd,Февраль,23.0,Врач,114034.99,9748.8675,2,5,7.0,,13,11.0,3.0,1377.74,33.66455429077268,21 г. 4 м.,No,215.19351594560425,"Большие траты, малые платежи",800.7504421328529
82c2dee2fd,Март,23.0,Врач,114207.14,9797.4575,2,5,7.0,3.0,14,8.0,3.0,1377.74,27.62632548676964,21 г. 5 м.,NM,212.23560220847847,"Большие траты, большие платежи",783.8683558699787
82c2dee2fd,Апрель,23.0,Врач,,,2,5,7.0,3.0,11,11.0,3.0,1377.74,35.14156730186042,21 г. 6 м.,NM,470.3857956796373,"Большие траты, малые платежи",543.0681623988198
82c2dee2fd,Май,23.0,Врач,113935.51000000001,,2,5,7.0,3.0,11,14.0,8.0,1377.74,30.4590318418306,21 г. 7 м.,No,225.08204945419,,763.261908624267
82c2dee2fd,Июнь,23.0,Врач,114676.35,9838.3275,2,5,7.0,3.0,12,11.0,8.0,1377.74,29.819186633421047,21 г. 8 м.,No,649.8093641841638,"Большие траты, малые платежи",363.6545938942932
82c2dee2fd,Июль,24.0,Врач,113934.51000000001,9802.5275,2,5,7.0,3.0,13,14.0,8.0,1377.74,26.114213868949623,21 г. 9 м.,NM,546.3805705230692,,483.5633875553879
82c2dee2fd,Август,24.0,Врач,114814.87000000001,9834.2075,2,5,7.0,3.0,11,,8.0,1377.74,31.76751564697107,21 г. 10 м.,No,215.4682977385688,"Большие траты, средние платежи",789.3556603398883
82c2dee2fd,Сентябрь,,Врач,114307.06,9757.6175,2,5,7.0,3.0,12,11.0,8.0,1377.74,27.813353640375272,21 г. 11 м.,No,254.57176724837916,"Большие траты, большие платежи",741.8721908300779
5f4a7adc25,Февраль,44.0,Журналист,31347.559999999998,2739.163333333333,0,5,12.0,2.0,4,0.0,2.0,421.43,29.51935255713933,,NM,154.352781097101,"Большие траты, малые платежи",336.70442316289024
5f4a7adc25,Март,44.0,Журналист,30975.649999999998,2805.973333333333,1,6,12.0,2.0,2,0.0,2.0,421.43,28.22048095698559,26 г. 6 м.,No,298.7444693112266,"Малые траты, малые платежи",223.2027349487646
5f4a7adc25,Апрель,44.0,Журналист,31110.059999999998,2765.003333333333,1,6,12.0,2.0,-2,0.0,5.0,421.43,31.04641790511995,26 г. 7 м.,No,140.8206959818371,"Малые траты, средние платежи",365.7365082781542
5f4a7adc25,Май,44.0,Журналист,30409.989999999998,2741.773333333333,1,6,12.0,2.0,1,0.0,5.0,421.43,30.1680304036694,26 г. 8 м.,No,233.6055264233428,"Малые траты, малые платежи",287.70167783664846
5f4a7adc25,Июнь,44.0,Журналист,30653.61,2817.983333333333,1,6,12.0,2.0,1,0.0,5.0,421.43,25.18923173183331,26 г. 9 м.,No,184.70057162057685,"Малые траты, малые платежи",332.4966326394144
5f4a7adc25,Июль,44.0,Журналист,30491.0,2760.0133333333333,1,6,12.0,2.0,1,0.0,5.0,421.43,25.502468550245663,,No,137.71742489512621,"Малые траты, средние платежи",374.339779364865
5f4a7adc25,Август,45.0,Журналист,30666.94,2800.313333333333,1,6,12.0,,-1,2.0,5.0,421.43,22.762202172732568,26 г. 11 м.,No,188.3949004901688,"Малые траты, малые платежи",331.1523037698224
5f4a7adc25,Сентябрь,45.0,Журналист,30489.53,,1,6,12.0,2.0,-2,2.0,5.0,421.43,37.56505276771999,27 г. 0 м.,No,252.6448271968889,"Малые траты, малые платежи",270.9423770631024
62cc7f3cb3,Февраль,40.0,Учитель,33069.25,2936.935833333333,5,5,20.0,,16,20.0,4.0,1328.93,37.08907564543987,19 г. 2 м.,NM,117.30669710658556,"Большие траты, средние платежи",353.0357119402324
62cc7f3cb3,Март,40.0,Учитель,33165.53,2910.975833333333,5,5,20.0,3.0,16,20.0,4.0,1328.93,30.908080633467584,19 г. 3 м.,Yes,70.13107792087979,"Большие траты, большие платежи",390.82133112593823
62cc7f3cb3,Апрель,40.0,,32815.42,,5,5,20.0,3.0,16,20.0,8.0,1328.93,38.03072168039317,19 г. 4 м.,Yes,270.18258222151513,"Малые траты, большие платежи",226.5098268253028
62cc7f3cb3,Май,40.0,Учитель,33443.74,2883.495833333333,5,5,20.0,3.0,17,22.0,8.0,1328.93,23.40441277698757,19 г. 5 м.,Yes,25.192561910314712,"Большие траты, большие платежи",439.8098471365032
62cc7f3cb3,Июнь,40.0,Учитель,33317.869999999995,2875.595833333333,5,5,20.0,,17,20.0,8.0,1328.93,29.073758182245705,19 г. 6 м.,Yes,243.32968479530567,"Малые траты, малые платежи",272.2427242515123
62cc7f3cb3,Июль,40.0,Учитель,33016.659999999996,2938.195833333333,5,5,20.0,3.0,16,20.0,8.0,1328.93,32.78263672653516,19 г. 7 м.,Yes,72.86008181289458,"Большие траты, средние платежи",405.4323272339233
62cc7f3cb3,Август,40.0,Учитель,33274.52,2891.415833333333,5,5,20.0,3.0,16,20.0,8.0,1328.93,35.58400504980836,19 г. 8 м.,Yes,35.427169541683696,,439.3052395051343
62cc7f3cb3,Сентябрь,41.0,Учитель,32845.21,2945.085833333333,5,5,20.0,3.0,16,17.0,8.0,,31.13948358493632,,Yes,25.969611914778515,"Большие траты, большие платежи",441.98279713203937
7dde3e474c,Февраль,30.0,Ученый,31719.03,2844.138333333333,6,6,7.0,2.0,8,14.0,0.0,818.22,25.36959679239191,16 г. 10 м.,Yes,81.99883505710139,"Малые траты, средние платежи",438.3147000515962
7dde3e474c,Март,30.0,Ученый,31495.1,2844.768333333333,6,6,7.0,2.0,12,14.0,0.0,818.22,37.958569410003335,16 г. 11 м.,Yes,,"Малые траты, малые платежи",157.86980351234496
7dde3e474c,Апрель,,Ученый,31949.86,2844.978333333333,6,6,7.0,2.0,8,14.0,1.0,818.22,27.38010904580052,17 г. 0 м.,Yes,264.25708850339777,"Малые траты, малые платежи",272.4164466052998
7dde3e474c,Май,,Ученый,31637.77,2866.768333333333,6,6,7.0,2.0,8,14.0,1.0,818.22,34.15826211876792,17 г. 1 м.,Yes,152.4523258823164,"Малые траты, средние платежи",374.5612092263812
7dde3e474c,Июнь,30.0,Ученый,31417.64,2928.148333333333,6,6,7.0,2.0,8,,1.0,818.22,30.788038803709785,17 г. 2 м.,Yes,43.470408666891174,"Большие траты, средние платежи",449.6931264418064
7dde3e474c,Июль,31.0,Ученый,31600.17,,6,6,7.0,,8,14.0,1.0,818.22,34.280968719435315,17 г. 3 м.,Yes,112.7238874320964,"Большие траты, малые платежи",395.7896476766012
7dde3e474c,Август,31.0,Ученый,31012.969999999998,,6,6,7.0,,8,16.0,1.0,818.22,29.503454266447758,17 г. 4 м.,Yes,104.55723619082673,"Большие траты, малые платежи",396.2562989178708
7dde3e474c,Сентябрь,31.0,Ученый,31295.35,2926.348333333333,6,6,7.0,2.0,8,16.0,1.0,818.22,36.012793772472094,17 г. 5 м.,Yes,97.58820324481087,"Малые траты, большие платежи",420.9153318638867
f81040261b,Февраль,45.0,Учитель,31858.95,2879.0950000000003,6,7,17.0,6.0,11,12.0,8.0,1283.37,28.94089258854545,6 г. 5 м.,Yes,254.86161508896942,"Малые траты, средние платежи",202.27932455566463
f81040261b,Март,46.0,Учитель,31937.82,2837.175,6,7,17.0,6.0,11,12.0,8.0,1283.37,27.86131019311364,6 г. 6 м.,Yes,103.21030741657007,"Малые траты, большие платежи",350.16063222806395
f81040261b,Апрель,46.0,Учитель,31936.719999999998,2884.735,6,7,17.0,6.0,10,12.0,8.0,1283.37,27.88169704475605,6 г. 7 м.,Yes,35.793568414159616,"Большие траты, большие платежи",386.3573712304745
f81040261b,Май,46.0,Учитель,31716.039999999997,2873.0950000000003,6,7,17.0,6.0,11,12.0,8.0,1283.37,38.39455822201335,6 г. 8 м.,Yes,280.21825375922106,"Малые траты, малые платежи",196.582685885413
f81040261b,Июнь,46.0,Учитель,32181.17,2854.005,6,7,17.0,6.0,15,,10.0,1283.37,33.23978443489355,6 г. 9 м.,Yes,154.0197492180297,"Большие траты, малые платежи",289.4511904266044
f81040261b,Июль,46.0,Учитель,31652.18,2812.0350000000003,6,7,17.0,6.0,11,,10.0,1283.37,26.874467413543886,6 г. 10 м.,Yes,272.2735499123763,"Малые траты, малые платежи",198.9373897322577
f81040261b,Август,46.0,Учитель,31720.48,2804.375,6,7,17.0,6.0,7,,10.0,,24.20553320227637,6 г. 11 м.,Yes,,"Малые траты, малые платежи",85.90209492602362
f81040261b,Сентябрь,46.0,Учитель,32176.539999999997,2810.5150000000003,6,7,17.0,6.0,13,12.0,10.0,1283.37,27.930123710625228,7 г. 0 м.,Yes,359.7718322852988,"Малые траты, малые платежи",117.02910735933534
e6bbd955ee,Февраль,26.0,Музыкант,97597.61,7983.745,6,6,12.0,,18,8.0,1.0,107.41,25.71557884311532,27 г. 2 м.,Yes,451.24651936958776,"Малые траты, малые платежи",639.4019806304123
e6bbd955ee,Март,26.0,Музыкант,97495.31,7990.035,6,6,12.0,0.0,18,8.0,1.0,107.41,28.711202517052943,27 г. 3 м.,Yes,322.7203197056673,"Малые траты, большие платежи",754.7081802943327
e6bbd955ee,Апрель,26.0,Музыкант,96891.65,8001.855,6,6,12.0,0.0,18,7.0,1.0,107.41,34.92287233220604,27 г. 4 м.,Yes,176.26422577485542,"Большие траты, средние платежи",878.9442742251445
e6bbd955ee,Май,26.0,Музыкант,97710.9,,6,6,12.0,0.0,19,8.0,1.0,107.41,26.51363149248924,27 г. 5 м.,Yes,499.24501998175833,"Малые траты, средние платежи",578.7434800182417
e6bbd955ee,Июнь,26.0,Музыкант,97505.66,7405.439346853578,6,6,12.0,0.0,18,,1.0,107.41,38.64911430691306,27 г. 6 м.,Yes,77.60922833984066,"Большие траты, большие платежи",961.3092716601593
e6bbd955ee,Июль,26.0,Музыкант,97790.27,7350.729346853578,6,6,12.0,0.0,16,8.0,1.0,107.41,44.6768885939621,27 г. 7 м.,Yes,108.30393861997324,"Большие траты, большие платежи",935.9445613800267
e6bbd955ee,Август,26.0,Музыкант,96940.87,7356.669346853578,6,6,12.0,0.0,18,8.0,1.0,107.41,28.807349824215013,27 г. 8 м.,Yes,743.540801271909,,327.26769872809103
e6bbd955ee,Сентябрь,26.0,Музыкант,,7446.1993468535775,6,6,12.0,0.0,18,8.0,1.0,107.41,33.89444259920451,27 г. 9 м.,Yes,110.31820362533672,"Большие траты, средние платежи",941.6902963746633
d956a662f4,Февраль,41.0,Медиаменеджер,9913.005,,7,5,17.0,5.0,48,,6.0,1672.43,25.951272885300533,10 г. 1 м.,Yes,14.622739235117402,"Большие траты, большие платежи",292.1276462600903
d956a662f4,Март,41.0,Медиаменеджер,9354.644999999999,1031.4745833333334,7,5,17.0,5.0,48,18.0,6.0,1672.43,32.38559762083814,10 г. 2 м.,NM,92.36195001929579,"Малые траты, малые платежи",260.9084354759118
d956a662f4,Апрель,41.0,Медиаменеджер,9704.055,1006.3245833333333,7,5,17.0,5.0,48,23.0,6.0,1672.43,23.731347914755407,10 г. 3 м.,Yes,91.88397193610828,"Малые траты, малые платежи",262.4364135590994
d956a662f4,Май,41.0,Медиаменеджер,9237.355,1073.4445833333332,7,5,17.0,5.0,43,20.0,6.0,1672.43,27.61417777754393,10 г. 4 м.,Yes,46.8104157513052,"Большие траты, малые платежи",276.71996974390254
d956a662f4,Июнь,41.0,Медиаменеджер,9383.015,1032.5545833333333,7,5,17.0,5.0,51,,6.0,1672.43,32.29348991062007,10 г. 5 м.,Yes,65.83126164076859,,292.4391238544391
d956a662f4,Июль,42.0,,9201.535,1012.5945833333333,7,5,17.0,5.0,48,24.0,,1672.43,25.105402554318484,10 г. 6 м.,Yes,73.89986104079846,"Малые траты, малые платежи",279.2505244544092
d956a662f4,Август,42.0,Медиаменеджер,9976.715,1029.6745833333332,7,5,17.0,5.0,52,21.0,6.0,1672.43,24.713823993258373,10 г. 7 м.,Yes,61.863727578026115,"Малые траты, малые платежи",291.23665791718156
d956a662f4,Сентябрь,42.0,Медиаменеджер,,1049.1145833333333,7,5,17.0,5.0,48,21.0,6.0,1672.43,36.83702882243363,10 г. 8 м.,Yes,71.12274735436063,"Малые траты, малые платежи",288.09763814084704
6c3e640f4b,Февраль,19.0,Предприниматель,106078.48000000001,8840.3475,4,4,1.0,0.0,10,,0.0,76.23,29.815895626895166,32 г. 9 м.,No,388.36035366098815,"Малые траты, большие платежи",768.1823963390119
6c3e640f4b,Март,20.0,Предприниматель,106661.21,8799.9175,4,4,1.0,0.0,5,7.0,0.0,76.23,28.10808628993924,32 г. 10 м.,No,807.2067768357648,"Малые траты, малые платежи",369.8259731642354
6c3e640f4b,Апрель,20.0,Предприниматель,106437.54000000001,8780.057499999999,4,4,,0.0,2,6.0,0.0,76.23,42.070458602150005,32 г. 11 м.,No,172.03282853259896,"Большие траты, большие платежи",953.3899214674013
6c3e640f4b,Май,20.0,Предприниматель,105764.97,,4,4,1.0,0.0,5,7.0,0.0,76.23,25.84254793986021,33 г. 0 м.,No,644.2873937406405,"Малые траты, большие платежи",503.92535625935955
6c3e640f4b,Июнь,20.0,Предприниматель,,8836.3975,4,4,1.0,,5,6.0,0.0,76.23,28.8205537792444,33 г. 1 м.,No,345.60913541068396,"Большие траты, средние платежи",782.6436145893159
6c3e640f4b,Июль,20.0,Предприниматель,106354.61,8794.4475,4,4,1.0,0.0,5,6.0,0.0,76.23,31.72760359530652,,No,,"Большие траты, средние платежи",908.6016546874347
6c3e640f4b,Август,20.0,Предприниматель,106310.36,8848.7075,4,4,1.0,0.0,9,4.0,1.0,76.23,43.6651184057441,,No,191.03537260177933,"Большие траты, большие платежи",934.8673773982208
6c3e640f4b,Сентябрь,20.0,Предприниматель,105971.02,8780.0775,4,4,1.0,0.0,7,6.0,1.0,76.23,39.24363977621796,33 г. 4 м.,No,384.7637247797149,,791.4190252202852
f88fb352f8,Февраль,34.0,Механик,57169.310000000005,4694.436666666667,9,8,31.0,8.0,47,19.0,12.0,3532.83,32.321769461626175,,Yes,265.70621194860047,"Малые траты, малые платежи",289.70384132335937
f88fb352f8,Март,34.0,Механик,57927.490000000005,,9,8,31.0,8.0,53,21.0,,3532.83,37.87364186839308,12 г. 3 м.,Yes,193.87337542933238,"Большие траты, средние платежи",318.08667784262747
f88fb352f8,Апрель,34.0,Механик,57722.670000000006,4711.706666666667,9,8,31.0,8.0,48,,,3532.83,37.81024308787287,12 г. 4 м.,Yes,534.3581783879267,"Малые траты, малые платежи",27.301874884033168
f88fb352f8,Май,34.0,Механик,57473.58,,9,8,31.0,8.0,48,22.0,,3532.83,32.56739683731984,12 г. 5 м.,Yes,197.64049552810002,"Большие траты, средние платежи",319.3995577438599
f88fb352f8,Июнь,34.0,Механик,57210.530000000006,4622.326666666667,9,8,31.0,8.0,48,21.0,,3532.83,37.28428974024728,12 г. 6 м.,Yes,205.25015227427863,"Малые траты, малые платежи",355.86990099768127
f88fb352f8,Июль,34.0,Механик,,4644.366666666667,9,8,31.0,8.0,46,21.0,,3532.83,35.25737829905026,12 г. 7 м.,Yes,626.869242023209,"Малые траты, малые платежи",
f88fb352f8,Август,34.0,Механик,57041.15,4682.6066666666675,9,8,31.0,8.0,49,21.0,,3532.83,24.63149693005803,12 г. 8 м.,Yes,234.73204010983818,"Малые траты, средние платежи",311.3780131621217
f88fb352f8,Сентябрь,34.0,Механик,57417.54,4715.826666666667,9,8,31.0,8.0,48,24.0,,3532.83,24.726351303352534,12 г. 9 м.,Yes,159.13672195005464,"Большие траты, средние платежи",358.7633313219053
8ef90b7bb0,Февраль,48.0,Предприниматель,20099.489999999998,1994.3274999999999,8,6,14.0,3.0,22,14.0,3.0,614.6,23.723185779641085,17 г. 10 м.,No,,"Малые траты, малые платежи",249.44562235082094
8ef90b7bb0,Март,48.0,,20484.03,1954.9775,8,6,14.0,3.0,24,,3.0,614.6,34.235852681958825,17 г. 11 м.,No,82.62718037237505,"Малые траты, большие платежи",344.4115769711927
8ef90b7bb0,Апрель,48.0,,20165.44,1990.8674999999998,8,6,14.0,3.0,21,,3.0,614.6,22.80214523254044,,No,110.17209563183977,"Малые траты, малые платежи",334.886661711728
8ef90b7bb0,Май,48.0,Предприниматель,19967.289999999997,,8,6,14.0,3.0,22,12.0,3.0,614.6,37.06719824335469,18 г. 1 м.,No,89.87484896281485,"Малые траты, большие платежи",336.08390838075286
8ef90b7bb0,Июнь,48.0,Предприниматель,19812.37,,8,6,14.0,3.0,22,14.0,3.0,614.6,29.339029437569323,18 г. 2 м.,No,155.4609440434731,"Малые траты, малые платежи",285.6078133000947
8ef90b7bb0,Июль,48.0,Предприниматель,19854.94,1947.9074999999998,8,6,14.0,3.0,22,14.0,3.0,614.6,30.4424252235854,,No,28.63736093576957,"Большие траты, большие платежи",368.14139640779814
8ef90b7bb0,Август,48.0,Предприниматель,20467.079999999998,1959.7375,8,6,14.0,3.0,23,14.0,3.0,614.6,26.11024341981501,,No,258.21517380152807,"Малые траты, малые платежи",189.4935835420397
8ef90b7bb0,Сентябрь,48.0,Предприниматель,20241.39,1954.2575,8,1381,14.0,3.0,22,14.0,3.0,614.6,35.344187616472155,18 г. 5 м.,No,21.745531229318935,"Большие траты, большие платежи",367.8132261142489
9460c17cc6,Февраль,40.0,Архитектор,27758.03,2144.5024999999996,6,3,15.0,3.0,25,12.0,0.0,400.07,24.422250680362037,30 г. 3 м.,Yes,42.85050714738581,"Большие траты, большие платежи",341.24982237062414
9460c17cc6,Март,40.0,Архитектор,28525.18,2204.0425,6,3,15.0,3.0,23,9.0,0.0,400.07,36.43787041541562,30 г. 4 м.,NM,83.0442090106474,,349.5861205073625
9460c17cc6,Апрель,40.0,,28259.88,2168.2324999999996,6,3,15.0,3.0,28,10.0,0.0,400.07,29.323516897407607,30 г. 5 м.,Yes,53.484203285005805,"Большие траты, средние платежи",342.48612623300414
9460c17cc6,Май,,Архитектор,27787.899999999998,,6,3,15.0,3.0,25,14.0,0.0,400.07,34.71456103712383,30 г. 6 м.,Yes,25.99346229581731,"Большие траты, средние платежи",367.7568672221926
9460c17cc6,Июнь,40.0,Архитектор,28519.76,,6,3,15.0,3.0,25,12.0,2.0,400.07,37.5045523778052,30 г. 7 м.,Yes,61.628109134830005,"Большие траты, средние платежи",335.40222038318
9460c17cc6,Июль,40.0,Архитектор,28303.25,,6,3,,3.0,25,11.0,2.0,400.07,35.69394940302416,30 г. 8 м.,Yes,129.264834657262,"Малые траты, малые платежи",304.1654948607479
9460c17cc6,Август,40.0,Архитектор,27826.329999999998,2156.0224999999996,6,3,15.0,3.0,25,13.0,2.0,400.07,35.025882785272486,,Yes,76.60780889167367,"Малые траты, малые платежи",359.90252062633624
9460c17cc6,Сентябрь,40.0,Архитектор,,2164.6625,6,3,15.0,3.0,25,12.0,2.0,400.07,23.177617480044173,30 г. 10 м.,Yes,51.83085897154975,"Большие траты, большие платежи",339.0494705464602
0cbd6a03bc,Февраль,,Ученый,20049.88,1615.688333333333,1,5,1.0,2.0,5,6.0,4.0,413.32,35.94290748551229,18 г. 3 м.,No,74.21434055467658,"Малые траты, большие платежи",330.1579090581607
0cbd6a03bc,Март,54.0,Ученый,19303.55,1673.458333333333,1,5,1.0,2.0,5,6.0,,413.32,32.93734625620886,18 г. 4 м.,NM,42.6191420708265,"Большие траты, большие платежи",332.2631075420108
0cbd6a03bc,Апрель,55.0,Ученый,19703.4,1641.958333333333,1,5,1.0,2.0,4,3.0,4.0,413.32,31.861736271923107,18 г. 5 м.,No,26.290476621438273,"Большие траты, средние платежи",362.211772991399
0cbd6a03bc,Май,,Ученый,19318.09,1602.5683333333332,1,5,1.0,2.0,5,6.0,4.0,413.32,22.74358210427965,18 г. 6 м.,No,104.72383354456407,"Большие траты, малые платежи",293.4084160682732
0cbd6a03bc,Июнь,55.0,Ученый,19902.88,1662.958333333333,1,5,1.0,2.0,5,7.0,4.0,413.32,39.06398122380784,18 г. 7 м.,No,138.80315747514354,"Малые траты, большие платежи",265.1890921376937
0cbd6a03bc,Июль,55.0,Ученый,585755.06,1645.368333333333,1,5,1.0,2.0,5,7.0,4.0,413.32,28.836349156043877,18 г. 8 м.,No,68.95672493704708,"Большие траты, средние платежи",317.5155246757902
0cbd6a03bc,Август,55.0,Ученый,19751.44,1589.5583333333332,1,5,1.0,2.0,5,6.0,4.0,413.32,36.05869702109428,18 г. 9 м.,No,121.7654262603496,"Малые траты, малые платежи",306.8768233524877
0cbd6a03bc,Сентябрь,55.0,Ученый,19369.3,1626.188333333333,1,5,1.0,2.0,5,6.0,4.0,413.32,33.75820397193409,,No,153.53879644098146,"Малые траты, средние платежи",262.7134531718558
cb8c06b83b,Февраль,43.0,Музыкант,17772.489999999998,1355.2133333333331,7,7,19.0,6.0,31,21.0,7.0,1793.54,38.9796611529839,18 г. 9 м.,NM,48.43998334767114,"Большие траты, средние платежи",274.69086221005006
cb8c06b83b,Март,43.0,Музыкант,18115.7,,7,7,19.0,6.0,31,21.0,7.0,1793.54,35.030349081579885,18 г. 10 м.,Yes,53.83325980744012,"Малые траты, средние платежи",299.147585750281
cb8c06b83b,Апрель,43.0,Музыкант,17983.25,,7,7,19.0,6.0,31,21.0,7.0,1793.54,27.19720883392748,18 г. 11 м.,Yes,105.14914955564508,"Малые траты, малые платежи",253.261696002076
cb8c06b83b,Май,43.0,Музыкант,18568.07,1384.9833333333331,7,7,19.0,6.0,31,22.0,7.0,1793.54,35.91940492740646,19 г. 0 м.,Yes,75.79138890495672,"Малые траты, средние платежи",274.3994566527644
cb8c06b83b,Июнь,43.0,Музыкант,18392.97,,7,7,19.0,6.0,31,,7.0,1793.54,25.585205200232163,19 г. 1 м.,Yes,24.34618840548105,"Большие траты, большие платежи",281.04465715224006
cb8c06b83b,Июль,43.0,Музыкант,18376.3,1384.6833333333332,7,7,19.0,6.0,31,21.0,7.0,1793.54,35.706437003014834,19 г. 2 м.,Yes,109.59203229477613,"Малые траты, средние платежи",238.368813262945
cb8c06b83b,Август,43.0,Музыкант,18531.36,1347.773333333333,7,7,19.0,6.0,26,21.0,7.0,1793.54,23.245481545534325,19 г. 3 м.,Yes,104.22797957897026,"Малые траты, малые платежи",258.0228659787509
cb8c06b83b,Сентябрь,44.0,Музыкант,17711.059999999998,1370.1833333333332,7,7,19.0,6.0,31,18.0,7.0,1793.54,38.78895428776155,19 г. 4 м.,Yes,98.80418973887456,"Малые траты, малые платежи",260.55665581884654
