index,credit_rating
1241,Обычный
1242,Обычный
1243,Обычный
1244,Обычный
1245,Обычный
1246,Обычный
1247,Обычный
1256,Обычный
1257,Обычный
1258,Обычный
1259,Обычный
1260,Обычный
1261,Обычный
1262,Обычный
1263,Обычный
1264,Плохой
1265,Хороший
1266,Плохой
1267,Плохой
1268,Плохой
1269,Плохой
1270,Плохой
1271,Плохой
1272,Обычный
1273,Обычный
1274,Обычный
1275,Обычный
1276,Обычный
1277,Обычный
1278,Обычный
1279,Обычный
1280,Плохой
1281,Плохой
1282,Плохой
1283,Плохой
1284,Обычный
1285,Обычный
1286,Плохой
1287,Плохой
1288,Плохой
1289,Обычный
1290,Обычный
1291,Обычный
1292,Обычный
1293,Обычный
1294,Обычный
1295,Обычный
1304,Плохой
1305,Плохой
1306,Плохой
1307,Плохой
1308,Плохой
1309,Плохой
1310,Плохой
1311,Плохой
1336,Плохой
1337,Хороший
1338,Хороший
1339,Хороший
1340,Плохой
1341,Хороший
1342,Хороший
1343,Хороший
1360,Плохой
1361,Плохой
1362,Обычный
1363,Плохой
1364,Плохой
1365,Обычный
1366,Обычный
1367,Плохой
1408,Обычный
1409,Обычный
1410,Обычный
1411,Обычный
1412,Обычный
1413,Обычный
1414,Обычный
1415,Обычный
1416,Обычный
1417,Обычный
1418,Обычный
1419,Обычный
1420,Обычный
1421,Обычный
1422,Обычный
1423,Обычный
1440,Плохой
1441,Хороший
1442,Обычный
1443,Хороший
1444,Хороший
1445,Хороший
1446,Хороший
1447,Плохой
1472,Плохой
1473,Обычный
1474,Обычный
1475,Обычный
1476,Плохой
1477,Плохой
1478,Плохой
1479,Плохой
1480,Обычный
1481,Обычный
1482,Обычный
1483,Обычный
1484,Обычный
1485,Обычный
1486,Обычный
1487,Обычный
1528,Хороший
1529,Хороший
1530,Плохой
1531,Хороший
1532,Хороший
1533,Хороший
1534,Хороший
1535,Хороший
1584,Обычный
1585,Хороший
1586,Хороший
1587,Хороший
1588,Хороший
1589,Хороший
1590,Хороший
1591,Хороший
1616,Плохой
1617,Обычный
1618,Обычный
1619,Плохой
1620,Обычный
1621,Плохой
1622,Обычный
1623,Обычный
1656,Хороший
1657,Хороший
1658,Хороший
1659,Хороший
1660,Хороший
1661,Хороший
1662,Хороший
1663,Хороший
1664,Обычный
1665,Обычный
1666,Обычный
1667,Обычный
1668,Обычный
1669,Обычный
1670,Обычный
1671,Обычный
1712,Плохой
1713,Плохой
1714,Плохой
1715,Плохой
1716,Плохой
1717,Плохой
1718,Плохой
1719,Плохой
1720,Обычный
1721,Обычный
1722,Обычный
1723,Обычный
1724,Обычный
1725,Обычный
1726,Обычный
1727,Обычный
1728,Обычный
1729,Обычный
1730,Обычный
1731,Обычный
1732,Обычный
1733,Обычный
1734,Обычный
1735,Обычный
1744,Плохой
1745,Плохой
1746,Плохой
1747,Плохой
1748,Плохой
1749,Плохой
1750,Плохой
1751,Плохой
1824,Обычный
1825,Обычный
1826,Обычный
1827,Обычный
1828,Обычный
1829,Обычный
1830,Обычный
1831,Обычный
1832,Обычный
1833,Обычный
1834,Обычный
1835,Обычный
1836,Обычный
1837,Обычный
1838,Обычный
1839,Обычный
1856,Хороший
1857,Хороший
1858,Хороший
1859,Хороший
1860,Обычный
1861,Хороший
1862,Хороший
1863,Хороший
1880,Плохой
1881,Плохой
1882,Плохой
1883,Плохой
1884,Плохой
1885,Плохой
1886,Плохой
1887,Плохой
1912,Обычный
1913,Обычный
1914,Обычный
1915,Обычный
1916,Обычный
1917,Обычный
1918,Обычный
1919,Обычный
1944,Обычный
1945,Обычный
1946,Обычный
1947,Обычный
1948,Обычный
1949,Обычный
1950,Обычный
1951,Обычный
1968,Хороший
1969,Хороший
1970,Хороший
1971,Хороший
1972,Хороший
1973,Хороший
1974,Хороший
1975,Хороший
1976,Плохой
1977,Плохой
1978,Плохой
1979,Плохой
1980,Плохой
1981,Плохой
1982,Плохой
1983,Плохой
1992,Обычный
1993,Обычный
1994,Обычный
1995,Обычный
1996,Обычный
1997,Обычный
1998,Обычный
1999,Обычный
2000,Обычный
2001,Обычный
2002,Обычный
2003,Обычный
2004,Обычный
2005,Обычный
2006,Обычный
2007,Обычный
2016,Хороший
2017,Обычный
2018,Обычный
2019,Обычный
2020,Обычный
2021,Обычный
2022,Обычный
2023,Обычный
2024,Плохой
2025,Плохой
2026,Плохой
2027,Плохой
2028,Плохой
2029,Плохой
2030,Плохой
2031,Плохой
2032,Хороший
2033,Хороший
2034,Хороший
2035,Хороший
2036,Хороший
2037,Хороший
2038,Хороший
2039,Хороший
2048,Плохой
2049,Плохой
2050,Плохой
2051,Плохой
2052,Плохой
2053,Плохой
2054,Плохой
2055,Плохой
2064,Обычный
2065,Обычный
2066,Обычный
2067,Обычный
2068,Обычный
2069,Обычный
2070,Обычный
2071,Обычный
2112,Обычный
2113,Обычный
2114,Обычный
2115,Обычный
2116,Обычный
2117,Обычный
2118,Обычный
2119,Обычный
2144,Плохой
2145,Плохой
2146,Обычный
2147,Плохой
2148,Плохой
2149,Плохой
2150,Плохой
2151,Плохой
2168,Плохой
2169,Плохой
2170,Плохой
2171,Плохой
2172,Плохой
2173,Плохой
2174,Плохой
2175,Плохой
2200,Обычный
2201,Обычный
2202,Хороший
2203,Обычный
2204,Обычный
2205,Хороший
2206,Хороший
2207,Обычный
2224,Хороший
2225,Хороший
2226,Хороший
2227,Хороший
2228,Хороший
2229,Хороший
2230,Хороший
2231,Хороший
2232,Плохой
2233,Плохой
2234,Плохой
2235,Плохой
2236,Плохой
2237,Плохой
2238,Плохой
2239,Обычный
2256,Обычный
2257,Обычный
2258,Обычный
2259,Обычный
2260,Обычный
2261,Плохой
2262,Плохой
2263,Обычный
2312,Плохой
2313,Плохой
2314,Плохой
2315,Плохой
2316,Плохой
2317,Плохой
2318,Плохой
2319,Плохой
2328,Плохой
2329,Плохой
2330,Плохой
2331,Плохой
2332,Плохой
2333,Плохой
2334,Плохой
2335,Плохой
2336,Обычный
2337,Обычный
2338,Обычный
2339,Обычный
2340,Обычный
2341,Обычный
2342,Обычный
2343,Обычный
2448,Плохой
2449,Плохой
2450,Плохой
2451,Плохой
2452,Плохой
2453,Плохой
2454,Плохой
2455,Плохой
2520,Плохой
2521,Плохой
2522,Плохой
2523,Обычный
2524,Плохой
2525,Плохой
2526,Плохой
2527,Плохой
2552,Плохой
2553,Плохой
2554,Плохой
2555,Плохой
2556,Плохой
2557,Плохой
2558,Плохой
2559,Плохой
2592,Обычный
2593,Обычный
2594,Обычный
2595,Обычный
2596,Обычный
2597,Обычный
2598,Обычный
2599,Обычный
2632,Обычный
2633,Обычный
2634,Обычный
2635,Обычный
2636,Обычный
2637,Обычный
2638,Обычный
2639,Обычный
2640,Плохой
2641,Обычный
2642,Обычный
2643,Плохой
2644,Обычный
2645,Обычный
2646,Плохой
2647,Обычный
2648,Обычный
2649,Обычный
2650,Обычный
2651,Обычный
2652,Обычный
2653,Обычный
2654,Обычный
2655,Обычный
2656,Обычный
2657,Обычный
2658,Обычный
2659,Обычный
2660,Обычный
2661,Обычный
2662,Обычный
2663,Обычный
2664,Обычный
2665,Обычный
2666,Обычный
2667,Обычный
2668,Обычный
2669,Обычный
2670,Обычный
2671,Обычный
2688,Обычный
2689,Обычный
2690,Обычный
2691,Обычный
2692,Обычный
2693,Обычный
2694,Обычный
2695,Обычный
2744,Обычный
2745,Обычный
2746,Обычный
2747,Обычный
2748,Обычный
2749,Обычный
2750,Обычный
2751,Обычный
2752,Обычный
2753,Плохой
2754,Плохой
2755,Плохой
2756,Плохой
2757,Плохой
2758,Плохой
2759,Обычный
2760,Плохой
2761,Плохой
2762,Плохой
2763,Плохой
2764,Плохой
2765,Плохой
2766,Плохой
2767,Плохой
2784,Обычный
2785,Обычный
2786,Обычный
2787,Обычный
2788,Обычный
2789,Обычный
2790,Обычный
2791,Обычный
2808,Обычный
2809,Обычный
2810,Обычный
2811,Обычный
2812,Обычный
2813,Обычный
2814,Обычный
2815,Обычный
2816,Хороший
2817,Хороший
2818,Хороший
2819,Хороший
2820,Хороший
2821,Хороший
2822,Хороший
2823,Хороший
2824,Хороший
2825,Хороший
2826,Обычный
2827,Хороший
2828,Хороший
2829,Хороший
2830,Хороший
2831,Хороший
2832,Обычный
2833,Обычный
2834,Обычный
2835,Обычный
2836,Обычный
2837,Обычный
2838,Обычный
2839,Обычный
2848,Обычный
2849,Обычный
2850,Обычный
2851,Обычный
2852,Обычный
2853,Обычный
2854,Обычный
2855,Обычный
2864,Обычный
2865,Обычный
2866,Обычный
2867,Плохой
2868,Плохой
2869,Обычный
2870,Плохой
2871,Плохой
2880,Плохой
2881,Плохой
2882,Плохой
2883,Плохой
2884,Плохой
2885,Плохой
2886,Плохой
2887,Плохой
2888,Хороший
2889,Хороший
2890,Хороший
2891,Хороший
2892,Хороший
2893,Хороший
2894,Хороший
2895,Хороший
2904,Обычный
2905,Обычный
2906,Обычный
2907,Обычный
2908,Обычный
2909,Обычный
2910,Обычный
2911,Обычный
2936,Обычный
2937,Обычный
2938,Обычный
2939,Обычный
2940,Обычный
2941,Обычный
2942,Обычный
2943,Обычный
2952,Обычный
2953,Обычный
2954,Обычный
2955,Обычный
2956,Обычный
2957,Обычный
2958,Обычный
2959,Обычный
2984,Хороший
2985,Хороший
2986,Хороший
2987,Хороший
2988,Хороший
2989,Хороший
2990,Хороший
2991,Хороший
3008,Обычный
3009,Обычный
3010,Обычный
3011,Обычный
3012,Обычный
3013,Обычный
3014,Обычный
3015,Хороший
3016,Обычный
3017,Обычный
3018,Обычный
3019,Обычный
3020,Обычный
3021,Обычный
3022,Обычный
3023,Обычный
3072,Плохой
3073,Плохой
3074,Плохой
3075,Плохой
3076,Плохой
3077,Плохой
3078,Плохой
3079,Плохой
3080,Обычный
3081,Обычный
3082,Обычный
3083,Обычный
3084,Обычный
3085,Обычный
3086,Обычный
3087,Обычный
3128,Обычный
3129,Обычный
3130,Обычный
3131,Обычный
3132,Обычный
3133,Обычный
3134,Обычный
3135,Обычный
3160,Обычный
3161,Обычный
3162,Обычный
3163,Обычный
3164,Обычный
3165,Обычный
3166,Обычный
3167,Обычный
3168,Плохой
3169,Плохой
3170,Плохой
3171,Плохой
3172,Плохой
3173,Плохой
3174,Плохой
3175,Плохой
3184,Обычный
3185,Обычный
3186,Обычный
3187,Обычный
3188,Обычный
3189,Обычный
3190,Обычный
3191,Обычный
3192,Обычный
3193,Обычный
3194,Обычный
3195,Обычный
3196,Обычный
3197,Обычный
3198,Обычный
3199,Обычный
3200,Плохой
3201,Плохой
3202,Плохой
3203,Плохой
3204,Плохой
3205,Плохой
3206,Плохой
3207,Плохой
3216,Хороший
3217,Хороший
3218,Хороший
3219,Хороший
3220,Хороший
3221,Хороший
3222,Хороший
3223,Хороший
3224,Обычный
3225,Обычный
3226,Обычный
3227,Обычный
3228,Обычный
3229,Обычный
3230,Обычный
3231,Обычный
3232,Обычный
3233,Обычный
3234,Обычный
3235,Обычный
3236,Обычный
3237,Обычный
3238,Обычный
3239,Обычный
3240,Обычный
3241,Обычный
3242,Обычный
3243,Обычный
3244,Обычный
3245,Обычный
3246,Обычный
3247,Обычный
3248,Плохой
3249,Плохой
3250,Плохой
3251,Плохой
3252,Плохой
3253,Плохой
3254,Плохой
3255,Плохой
3288,Обычный
3289,Обычный
3290,Обычный
3291,Обычный
3292,Обычный
3293,Обычный
3294,Обычный
3295,Обычный
3304,Плохой
3305,Плохой
3306,Плохой
3307,Плохой
3308,Плохой
3309,Плохой
3310,Плохой
3311,Плохой
3320,Обычный
3321,Обычный
3322,Обычный
3323,Обычный
3324,Обычный
3325,Обычный
3326,Обычный
3327,Обычный
3344,Хороший
3345,Хороший
3346,Хороший
3347,Хороший
3348,Хороший
3349,Обычный
3350,Хороший
3351,Хороший
3360,Хороший
3361,Хороший
3362,Хороший
3363,Обычный
3364,Хороший
3365,Хороший
3366,Хороший
3367,Хороший
3408,Обычный
3409,Обычный
3410,Обычный
3411,Обычный
3412,Обычный
3413,Обычный
3414,Обычный
3415,Обычный
3424,Плохой
3425,Плохой
3426,Плохой
3427,Плохой
3428,Плохой
3429,Плохой
3430,Плохой
3431,Плохой
3432,Хороший
3433,Хороший
3434,Хороший
3435,Хороший
3436,Хороший
3437,Хороший
3438,Хороший
3439,Хороший
3472,Обычный
3473,Обычный
3474,Обычный
3475,Обычный
3476,Обычный
3477,Обычный
3478,Обычный
3479,Обычный
3480,Обычный
3481,Обычный
3482,Обычный
3483,Обычный
3484,Обычный
3485,Обычный
3486,Обычный
3487,Обычный
3488,Хороший
3489,Обычный
3490,Хороший
3491,Хороший
3492,Хороший
3493,Хороший
3494,Хороший
3495,Хороший
3512,Хороший
3513,Хороший
3514,Хороший
3515,Хороший
3516,Хороший
3517,Хороший
3518,Хороший
3519,Хороший
3584,Плохой
3585,Плохой
3586,Плохой
3587,Плохой
3588,Плохой
3589,Плохой
3590,Плохой
3591,Плохой
3600,Обычный
3601,Обычный
3602,Обычный
3603,Обычный
3604,Обычный
3605,Обычный
3606,Обычный
3607,Обычный
3608,Обычный
3609,Обычный
3610,Обычный
3611,Обычный
3612,Обычный
3613,Обычный
3614,Обычный
3615,Обычный
3616,Обычный
3617,Обычный
3618,Обычный
3619,Обычный
3620,Обычный
3621,Обычный
3622,Обычный
3623,Обычный
3632,Обычный
3633,Обычный
3634,Обычный
3635,Обычный
3636,Обычный
3637,Обычный
3638,Обычный
3639,Плохой
3664,Обычный
3665,Обычный
3666,Обычный
3667,Обычный
3668,Обычный
3669,Обычный
3670,Обычный
3671,Обычный
3680,Обычный
3681,Обычный
3682,Обычный
3683,Обычный
3684,Обычный
3685,Обычный
3686,Обычный
3687,Обычный
3688,Обычный
3689,Обычный
3690,Обычный
3691,Обычный
3692,Обычный
3693,Плохой
3694,Обычный
3695,Обычный
3712,Плохой
3713,Плохой
3714,Плохой
3715,Плохой
3716,Плохой
3717,Плохой
3718,Плохой
3719,Плохой
3744,Обычный
3745,Обычный
3746,Обычный
3747,Обычный
3748,Обычный
3749,Обычный
3750,Обычный
3751,Обычный
3752,Обычный
3753,Обычный
3754,Обычный
3755,Обычный
3756,Обычный
3757,Обычный
3758,Обычный
3759,Плохой
3776,Плохой
3777,Плохой
3778,Плохой
3779,Плохой
3780,Плохой
3781,Плохой
3782,Плохой
3783,Плохой
3784,Хороший
3785,Хороший
3786,Хороший
3787,Плохой
3788,Плохой
3789,Хороший
3790,Хороший
3791,Хороший
3800,Обычный
3801,Обычный
3802,Обычный
3803,Обычный
3804,Обычный
3805,Обычный
3806,Обычный
3807,Обычный
3856,Плохой
3857,Плохой
3858,Плохой
3859,Плохой
3860,Обычный
3861,Плохой
3862,Обычный
3863,Плохой
3864,Плохой
3865,Плохой
3866,Плохой
3867,Плохой
3868,Плохой
3869,Обычный
3870,Обычный
3871,Обычный
3896,Хороший
3897,Хороший
3898,Хороший
3899,Хороший
3900,Хороший
3901,Хороший
3902,Хороший
3903,Хороший
3904,Плохой
3905,Плохой
3906,Плохой
3907,Плохой
3908,Плохой
3909,Плохой
3910,Плохой
3911,Плохой
3920,Обычный
3921,Обычный
3922,Обычный
3923,Обычный
3924,Обычный
3925,Обычный
3926,Обычный
3927,Обычный
3936,Обычный
3937,Обычный
3938,Обычный
3939,Обычный
3940,Обычный
3941,Обычный
3942,Обычный
3943,Обычный
3944,Обычный
3945,Обычный
3946,Обычный
3947,Обычный
3948,Обычный
3949,Обычный
3950,Обычный
3951,Обычный
3952,Обычный
3953,Обычный
3954,Обычный
3955,Обычный
3956,Обычный
3957,Обычный
3958,Обычный
3959,Обычный
3968,Обычный
3969,Обычный
3970,Обычный
3971,Плохой
3972,Обычный
3973,Обычный
3974,Плохой
3975,Обычный
4024,Обычный
4025,Обычный
4026,Обычный
4027,Плохой
4028,Обычный
4029,Плохой
4030,Обычный
4031,Плохой
4048,Плохой
4049,Плохой
4050,Плохой
4051,Плохой
4052,Плохой
4053,Плохой
4054,Плохой
4055,Плохой
4064,Плохой
4065,Плохой
4066,Плохой
4067,Плохой
4068,Плохой
4069,Плохой
4070,Плохой
4071,Плохой
4112,Обычный
4113,Обычный
4114,Обычный
4115,Обычный
4116,Обычный
4117,Обычный
4118,Обычный
4119,Обычный
4120,Хороший
4121,Обычный
4122,Хороший
4123,Обычный
4124,Хороший
4125,Хороший
4126,Обычный
4127,Хороший
4128,Плохой
4129,Плохой
4130,Плохой
4131,Плохой
4132,Плохой
4133,Плохой
4134,Плохой
4135,Плохой
4160,Хороший
4161,Хороший
4162,Хороший
4163,Хороший
4164,Хороший
4165,Хороший
4166,Хороший
4167,Хороший
4168,Обычный
4169,Обычный
4170,Обычный
4171,Обычный
4172,Обычный
4173,Обычный
4174,Обычный
4175,Обычный
4192,Плохой
4193,Плохой
4194,Плохой
4195,Плохой
4196,Плохой
4197,Плохой
4198,Плохой
4199,Плохой
4200,Обычный
4201,Обычный
4202,Обычный
4203,Обычный
4204,Обычный
4205,Обычный
4206,Обычный
4207,Обычный
4224,Хороший
4225,Хороший
4226,Хороший
4227,Хороший
4228,Хороший
4229,Хороший
4230,Хороший
4231,Хороший
4232,Обычный
4233,Обычный
4234,Обычный
4235,Обычный
4236,Обычный
4237,Обычный
4238,Обычный
4239,Обычный
4240,Обычный
4241,Хороший
4242,Хороший
4243,Хороший
4244,Хороший
4245,Хороший
4246,Хороший
4247,Хороший
4296,Хороший
4297,Хороший
4298,Хороший
4299,Хороший
4300,Хороший
4301,Обычный
4302,Хороший
4303,Хороший
4304,Обычный
4305,Обычный
4306,Обычный
4307,Обычный
4308,Обычный
4309,Обычный
4310,Обычный
4311,Обычный
4320,Обычный
4321,Обычный
4322,Обычный
4323,Плохой
4324,Плохой
4325,Обычный
4326,Плохой
4327,Плохой
4360,Обычный
4361,Обычный
4362,Обычный
4363,Обычный
4364,Обычный
4365,Обычный
4366,Обычный
4367,Обычный
4384,Обычный
4385,Обычный
4386,Обычный
4387,Обычный
4388,Плохой
4389,Плохой
4390,Плохой
4391,Плохой
4408,Обычный
4409,Обычный
4410,Хороший
4411,Обычный
4412,Обычный
4413,Обычный
4414,Обычный
4415,Хороший
4424,Обычный
4425,Обычный
4426,Обычный
4427,Обычный
4428,Обычный
4429,Обычный
4430,Обычный
4431,Обычный
4440,Плохой
4441,Плохой
4442,Плохой
4443,Плохой
4444,Плохой
4445,Плохой
4446,Плохой
4447,Плохой
4456,Хороший
4457,Хороший
4458,Хороший
4459,Хороший
4460,Обычный
4461,Обычный
4462,Хороший
4463,Хороший
4472,Обычный
4473,Обычный
4474,Обычный
4475,Обычный
4476,Обычный
4477,Обычный
4478,Обычный
4479,Обычный
4480,Обычный
4481,Обычный
4482,Обычный
4483,Обычный
4484,Обычный
4485,Обычный
4486,Обычный
4487,Обычный
4488,Обычный
4489,Обычный
4490,Обычный
4491,Обычный
4492,Обычный
4493,Обычный
4494,Обычный
4495,Обычный
4552,Обычный
4553,Обычный
4554,Обычный
4555,Обычный
4556,Обычный
4557,Обычный
4558,Обычный
4559,Обычный
4576,Хороший
4577,Хороший
4578,Хороший
4579,Плохой
4580,Хороший
4581,Плохой
4582,Обычный
4583,Хороший
4592,Хороший
4593,Хороший
4594,Хороший
4595,Хороший
4596,Обычный
4597,Обычный
4598,Обычный
4599,Обычный
4608,Обычный
4609,Обычный
4610,Обычный
4611,Обычный
4612,Обычный
4613,Обычный
4614,Обычный
4615,Обычный
4616,Плохой
4617,Обычный
4618,Плохой
4619,Плохой
4620,Плохой
4621,Обычный
4622,Плохой
4623,Плохой
4648,Плохой
4649,Обычный
4650,Обычный
4651,Плохой
4652,Обычный
4653,Плохой
4654,Обычный
4655,Плохой
4656,Плохой
4657,Плохой
4658,Плохой
4659,Плохой
4660,Плохой
4661,Плохой
4662,Плохой
4663,Плохой
4688,Плохой
4689,Плохой
4690,Плохой
4691,Плохой
4692,Плохой
4693,Плохой
4694,Плохой
4695,Плохой
4696,Обычный
4697,Обычный
4698,Обычный
4699,Обычный
4700,Обычный
4701,Обычный
4702,Обычный
4703,Обычный
4704,Обычный
4705,Обычный
4706,Обычный
4707,Обычный
4708,Обычный
4709,Обычный
4710,Обычный
4711,Обычный
4712,Хороший
4713,Хороший
4714,Хороший
4715,Хороший
4716,Хороший
4717,Хороший
4718,Хороший
4719,Хороший
4736,Хороший
4737,Хороший
4738,Хороший
4739,Хороший
4740,Обычный
4741,Хороший
4742,Хороший
4743,Хороший
4808,Обычный
4809,Плохой
4810,Обычный
4811,Обычный
4812,Обычный
4813,Обычный
4814,Обычный
4815,Обычный
4824,Хороший
4825,Хороший
4826,Хороший
4827,Хороший
4828,Хороший
4829,Хороший
4830,Хороший
4831,Хороший
4864,Плохой
4865,Плохой
4866,Плохой
4867,Плохой
4868,Плохой
4869,Плохой
4870,Плохой
4871,Плохой
4880,Хороший
4881,Хороший
4882,Хороший
4883,Хороший
4884,Хороший
4885,Хороший
4886,Хороший
4887,Хороший
4904,Плохой
4905,Плохой
4906,Плохой
4907,Плохой
4908,Плохой
4909,Плохой
4910,Плохой
4911,Плохой
4952,Обычный
4953,Обычный
4954,Обычный
4955,Обычный
4956,Обычный
4957,Обычный
4958,Обычный
4959,Обычный
4960,Обычный
4961,Обычный
4962,Обычный
