client_id,month,age,occupation,annual_income,monthly_salary,number_bank_accounts,number_credit_cards,interest_rate,number_loan,delay_from_due_date,number_delayed_payment,number_credit_inquiries,unpaid_debt,credit_utilization_ratio,credit_history_age,min_amount_payment,monthy_amount_invested,client_behaviour,monthly_balance,credit_rating
a0888ce2aa,Март,39.0,Руководитель,8277.705,481.46875,6,5,32.0,7.0,23,9.0,6.0,2602.69,39.90251759709182,9 г. 0 м.,Yes,34.71516393565097,"Малые траты, большие платежи",243.25951389296185,Плохой
a0888ce2aa,Апрель,39.0,Руководитель,,420.70874999999995,6,5,32.0,7.0,23,,6.0,2602.69,36.47591386327275,9 г. 1 м.,NM,45.6509755447516,"Малые траты, большие платежи",233.83370228386124,Плохой
a0888ce2aa,Май,39.0,Руководитель,8273.795,512.06875,6,5,32.0,7.0,22,7.0,6.0,2602.69,32.09749227865355,9 г. 2 м.,Yes,20.390183876957128,"Малые траты, малые платежи",279.1644939516557,Плохой
a0888ce2aa,Июнь,39.0,Руководитель,7924.625,488.21874999999994,6,5,32.0,7.0,22,9.0,6.0,2602.69,37.16937449181636,9 г. 3 м.,Yes,50.486952198712274,"Малые траты, малые платежи",253.89772562990055,Плохой
a0888ce2aa,Июль,39.0,Руководитель,8654.295,518.85875,6,5,32.0,7.0,23,6.0,6.0,2602.69,28.570031407996357,9 г. 4 м.,Yes,52.931613407134115,"Малые траты, средние платежи",242.23306442147873,Плохой
a0888ce2aa,Август,39.0,Руководитель,8148.675,,6,5,32.0,7.0,21,9.0,9.0,2602.69,38.46541540543407,,Yes,30.471806299271933,"Малые траты, средние платежи",261.1328715293409,Плохой
a0888ce2aa,Сентябрь,39.0,Руководитель,,432.83874999999995,6,5,32.0,7.0,23,9.0,9.0,2602.69,28.815537059010616,9 г. 6 м.,NM,,"Малые траты, малые платежи",255.6020511316515,Плохой
a39be784fb,Февраль,36.0,Предприниматель,25245.739999999998,2409.1150000000002,8,7,14.0,5.0,16,14.0,5.0,758.44,37.41820916883601,18 г. 2 м.,NM,53.104599112612064,"Большие траты, средние платежи",334.4822635235368,Обычный
a39be784fb,Март,,Предприниматель,24843.699999999997,,8,7,14.0,5.0,16,13.0,,758.44,29.711375540929517,18 г. 3 м.,Yes,300.32323168069064,"Малые траты, малые платежи",129.9336309554582,Обычный
a39be784fb,Апрель,37.0,Предприниматель,25360.059999999998,2322.455,8,7,14.0,5.0,16,10.0,5.0,758.44,25.413616742350907,18 г. 4 м.,Yes,91.21658676189335,"Малые траты, большие платежи",315.8302758742555,Обычный
a39be784fb,Май,37.0,Предприниматель,,2391.405,8,7,14.0,5.0,16,10.0,,758.44,35.946278218900645,18 г. 5 м.,Yes,83.7147504914459,"Большие траты, средние платежи",304.80211214470296,Обычный
a39be784fb,Июнь,37.0,Предприниматель,25427.359999999997,2391.245,8,7,14.0,5.0,16,13.0,5.0,758.44,28.2774200145778,18 г. 6 м.,Yes,311.99934746655674,"Малые траты, малые платежи",118.2575151695921,Обычный
a39be784fb,Июль,37.0,Предприниматель,25127.53,2408.155,8,7,14.0,5.0,16,10.0,5.0,758.44,34.58659948959524,,Yes,61.7307484719951,"Большие траты, малые платежи",331.99611416415377,Обычный
a39be784fb,Август,37.0,Предприниматель,25428.0,2387.005,8,7,14.0,5.0,16,14.0,5.0,758.44,30.099067241911712,18 г. 8 м.,Yes,130.30039377019006,"Малые траты, малые платежи",290.5464688659588,Обычный
a39be784fb,Сентябрь,37.0,Предприниматель,25238.789999999997,2328.285,8,7,14.0,,15,,5.0,758.44,39.33348789822524,18 г. 9 м.,Yes,189.81586133347676,"Малые траты, средние платежи",226.56100130267208,Обычный
7a8bae2525,Февраль,20.0,Бухгалтер,91707.25,,6,7,16.0,0.0,16,11.0,0.0,1296.64,37.11561494309292,29 г. 2 м.,Yes,154.6341231395093,,849.1748768604907,Обычный
7a8bae2525,Март,20.0,Бухгалтер,,7519.51,6,7,16.0,0.0,16,11.0,4.0,1296.64,39.46775837121139,29 г. 3 м.,Yes,710.4953806729873,"Малые траты, средние платежи",326.29361932701283,Обычный
7a8bae2525,Апрель,20.0,Бухгалтер,91665.1,7550.17,6,7,16.0,0.0,18,11.0,4.0,1296.64,27.792788363714145,29 г. 4 м.,Yes,175.4456226582996,"Большие траты, большие платежи",821.2433773417005,Обычный
7a8bae2525,Май,20.0,Бухгалтер,91475.85,7588.55,6,7,16.0,,16,11.0,4.0,1296.64,42.944681681740505,,Yes,120.90755376622221,"Большие траты, большие платежи",878.0614462337778,Плохой
7a8bae2525,Июнь,20.0,Бухгалтер,91182.55,7547.6900000000005,6,7,16.0,0.0,16,8.0,4.0,1296.64,34.3576502428514,29 г. 6 м.,NM,78.71934549426288,"Большие траты, большие платежи",920.1696545057373,Плохой
7a8bae2525,Июль,20.0,Бухгалтер,91345.36,7493.45,6,7,16.0,0.0,16,13.0,4.0,1296.64,28.776937743887977,,Yes,266.5850272142179,"Малые траты, малые платежи",772.9739727857823,Плохой
7a8bae2525,Август,20.0,Бухгалтер,91617.04000000001,7571.650000000001,6,7,16.0,0.0,16,10.0,4.0,1296.64,40.75852163733138,29 г. 8 м.,Yes,59.28557022863863,"Большие траты, большие платежи",930.0334297713614,Плохой
7a8bae2525,Сентябрь,20.0,Бухгалтер,91637.95,7514.89,6,7,16.0,0.0,16,11.0,4.0,1296.64,27.727646781775498,29 г. 9 м.,Yes,268.0846032992916,"Малые траты, большие платежи",756.5043967007085,Плохой
fd53d40406,Февраль,31.0,Предприниматель,18462.83,1469.1716666666669,6,7,17.0,5.0,52,,7.0,2430.21,29.934185732751413,18 г. 2 м.,Yes,79.17641583265376,"Малые траты, малые платежи",310.30768858956014,Плохой
fd53d40406,Март,31.0,Предприниматель,18915.9,1432.6916666666668,6,7,17.0,5.0,51,18.0,7.0,2430.21,36.6412035787929,18 г. 3 м.,NM,55.29821298839304,"Большие траты, малые платежи",299.9058914338209,Плохой
fd53d40406,Апрель,31.0,Предприниматель,18424.16,1437.591666666667,6,7,17.0,5.0,48,19.0,7.0,2430.21,37.62486247304565,,Yes,140.81859591726788,"Малые траты, большие платежи",230.10550850494602,Плохой
fd53d40406,Май,31.0,Предприниматель,19148.35,1486.741666666667,6,7,17.0,5.0,51,19.0,7.0,2430.21,28.870386917234462,18 г. 5 м.,Yes,61.428029874778424,"Большие траты, малые платежи",297.43607454743545,Обычный
fd53d40406,Июнь,32.0,Предприниматель,19107.66,1431.9016666666669,6,7,17.0,5.0,53,19.0,7.0,2430.21,28.05884596384257,,Yes,173.0425507765921,"Малые траты, малые платежи",214.14155364562185,Плохой
fd53d40406,Июль,32.0,,18869.44,1470.501666666667,6,1029,17.0,5.0,51,17.0,8.0,2430.21,25.84779062032988,18 г. 7 м.,Yes,83.44744882880191,"Малые траты, большие платежи",280.02665559341204,Плохой
fd53d40406,Август,32.0,Предприниматель,18707.52,,6,7,17.0,,51,19.0,8.0,2430.21,25.84314493873217,18 г. 8 м.,Yes,120.9754898578697,"Малые траты, большие платежи",244.78861456434424,Плохой
fd53d40406,Сентябрь,32.0,Предприниматель,18369.51,1497.041666666667,6,7,17.0,5.0,53,19.0,8.0,2430.21,23.70919322410504,18 г. 9 м.,Yes,118.1855506983746,"Малые траты, средние платежи",261.1085537238393,Обычный
3cff483915,Февраль,41.0,Музыкант,19212.31,1752.22,7,5,17.0,0.0,30,12.0,2.0,881.4,26.084542750932684,19 г. 3 м.,NM,50.14372713919671,"Большие траты, средние платежи",382.59027286080334,Обычный
3cff483915,Март,41.0,Музыкант,18968.420000000002,1777.6200000000001,7,5,17.0,0.0,30,14.0,2.0,881.4,25.665856781285065,19 г. 4 м.,No,,"Большие траты, большие платежи",372.63606523858573,Обычный
3cff483915,Апрель,41.0,Музыкант,19236.940000000002,1790.24,7,5,17.0,0.0,30,12.0,2.0,881.4,33.66946005394869,19 г. 5 м.,No,43.315824459505386,"Большие траты, средние платежи",380.85817554049464,Обычный
3cff483915,Май,41.0,Музыкант,19381.260000000002,1811.14,7,488,17.0,0.0,30,12.0,2.0,881.4,34.503707241298585,19 г. 6 м.,No,45.388820313894996,"Большие траты, средние платежи",384.83517968610494,Плохой
3cff483915,Июнь,41.0,Музыкант,19490.4,,7,5,17.0,0.0,30,,2.0,881.4,41.17638419789344,19 г. 7 м.,No,168.34146287619103,"Малые траты, малые платежи",302.822537123809,Плохой
3cff483915,Июль,41.0,,19370.68,,7,5,17.0,0.0,30,12.0,2.0,881.4,38.78807246113495,19 г. 8 м.,No,151.3776397937309,"Малые траты, малые платежи",312.3363602062691,Плохой
3cff483915,Август,41.0,Музыкант,18526.59,1735.24,7,5,17.0,0.0,28,15.0,2.0,881.4,27.182482771287628,19 г. 9 м.,No,184.63115997411617,"Малые траты, средние платежи",276.48284002588383,Плохой
3cff483915,Сентябрь,41.0,Музыкант,18874.86,,7,5,,0.0,26,11.0,4.0,881.4,28.781887776659712,19 г. 10 м.,No,99.1415414879628,"Большие траты, малые платежи",341.5524585120372,Плохой
4ff9ca84eb,Февраль,,Юрист,12534.654999999999,708.0670833333334,5,5,10.0,,28,19.0,7.0,569.8,33.07588356651339,12 г. 3 м.,Yes,0.0,"Большие траты, большие платежи",280.6682044805207,Обычный
4ff9ca84eb,Март,31.0,Юрист,12214.414999999999,762.5170833333334,5,5,10.0,,26,18.0,7.0,569.8,38.15374125597254,12 г. 4 м.,Yes,103.15861791443639,"Малые траты, малые платежи",238.54474288969098,Плохой
4ff9ca84eb,Апрель,31.0,Юрист,12136.074999999999,701.3770833333334,5,5,10.0,3.0,23,16.0,7.0,569.8,23.17983273627976,12 г. 5 м.,Yes,32.02630794260436,"Малые траты, малые платежи",301.637052861523,Обычный
4ff9ca84eb,Май,32.0,,12190.355,745.9870833333334,5,5,10.0,3.0,25,18.0,,569.8,28.819407058304,12 г. 6 м.,Yes,31.14919791081519,"Малые траты, средние платежи",293.2141628933122,Плохой
4ff9ca84eb,Июнь,32.0,Юрист,,734.5070833333334,5,5,10.0,3.0,20,19.0,7.0,569.8,37.24021434251173,12 г. 7 м.,Yes,41.0826367012432,"Малые траты, малые платежи",294.3807241028842,Плохой
4ff9ca84eb,Июль,32.0,Юрист,11912.385,774.5170833333334,5,5,10.0,3.0,25,19.0,7.0,569.8,36.52748004014412,12 г. 8 м.,Yes,48.00806665619237,"Малые траты, малые платежи",286.705294147935,Плохой
4ff9ca84eb,Август,32.0,Юрист,11998.664999999999,708.3670833333334,5,5,10.0,3.0,25,20.0,7.0,569.8,34.125305925956305,,Yes,56.908895859705574,"Малые траты, средние платежи",268.3544649444218,Плохой
4ff9ca84eb,Сентябрь,32.0,Юрист,11810.285,688.6370833333334,5,5,10.0,3.0,25,19.0,11.0,569.8,31.978873515820705,12 г. 10 м.,Yes,66.37358000122424,"Малые траты, малые платежи",266.94978080290315,Плохой
539f8f3325,Февраль,30.0,Писатель,33826.700000000004,2690.13,9,8,25.0,7.0,52,10.0,9.0,2686.81,39.28029558815228,13 г. 8 м.,NM,248.06995733765262,"Малые траты, большие платежи",106.56906008284685,Плохой
539f8f3325,Март,30.0,Писатель,34186.79,2689.38,9,8,25.0,7.0,47,,9.0,2686.81,27.036842290717487,,NM,,"Малые траты, большие платежи",196.5585016421765,Обычный
539f8f3325,Апрель,30.0,Писатель,34280.46,2637.0,9,8,25.0,7.0,52,6.0,9.0,2686.81,29.01885042597808,,Yes,60.589536090880564,"Большие траты, средние платежи",268.1294813296189,Обычный
539f8f3325,Май,30.0,Писатель,33507.020000000004,,9,8,25.0,,52,7.0,9.0,2686.81,36.16398913486826,13 г. 11 м.,NM,99.47477403683122,"Малые траты, большие платежи",252.53424338366827,Плохой
539f8f3325,Июнь,30.0,,33953.200000000004,2614.9100000000003,9,8,25.0,7.0,52,12.0,9.0,2686.81,33.841866041473175,14 г. 0 м.,Yes,330.071842181316,"Малые траты, малые платежи",44.56717523918351,Плохой
539f8f3325,Июль,30.0,Писатель,33553.44,2610.1400000000003,9,8,25.0,7.0,53,12.0,9.0,2686.81,24.222554856393263,14 г. 1 м.,Yes,108.94691107774382,"Большие траты, средние платежи",219.0221063427557,Плохой
539f8f3325,Август,30.0,Писатель,,2611.0200000000004,9,8,25.0,7.0,52,12.0,13.0,2686.81,35.11893274172206,14 г. 2 м.,Yes,224.09320407033417,,150.5458133501653,Обычный
539f8f3325,Сентябрь,30.0,Писатель,34048.5,,9,898,25.0,7.0,52,9.0,13.0,2686.81,36.82064895309465,14 г. 3 м.,Yes,94.91721648288956,"Большие траты, малые платежи",248.58180093760987,Плохой
a221f16a1b,Февраль,32.0,Бухгалтер,42390.259999999995,,3,3,18.0,1.0,11,8.0,4.0,1233.1,27.980700663802917,19 г. 2 м.,Yes,397.00224891024857,"Малые траты, малые платежи",223.25033293325657,Обычный
a221f16a1b,Март,32.0,Бухгалтер,,3616.986666666666,3,3,18.0,1.0,13,8.0,4.0,1233.1,28.0712918599624,19 г. 3 м.,Yes,443.9186741720723,"Малые траты, малые платежи",177.7239076714328,Обычный
a221f16a1b,Апрель,32.0,Бухгалтер,42658.56,3604.896666666666,3,3,18.0,1.0,15,8.0,4.0,1233.1,28.361166154311103,19 г. 4 м.,Yes,50.50914885496671,"Большие траты, большие платежи",512.7834329885384,Обычный
a221f16a1b,Май,,Бухгалтер,42901.29,3523.686666666666,3,3,18.0,1.0,11,8.0,4.0,1233.1,24.331771760144264,19 г. 5 м.,Yes,74.92037487328841,"Большие траты, средние платежи",499.0322069702167,Обычный
a221f16a1b,Июнь,32.0,Бухгалтер,42699.22,3539.806666666666,3,3,18.0,1.0,10,8.0,8.0,1233.1,26.44753733068293,19 г. 6 м.,Yes,178.09535842702488,"Малые траты, большие платежи",414.0672234164803,Обычный
a221f16a1b,Июль,32.0,Бухгалтер,42942.89,3555.396666666666,3,3,18.0,1.0,8,8.0,8.0,1233.1,39.069843987300096,19 г. 7 м.,Yes,41.33398006254758,"Большие траты, большие платежи",528.8986017809576,Обычный
a221f16a1b,Август,32.0,Бухгалтер,42343.78,3535.286666666666,3,3,18.0,1.0,11,8.0,8.0,1233.1,34.718643637980016,19 г. 8 м.,Yes,108.62344689023183,"Малые траты, большие платежи",486.4091349532733,Обычный
a221f16a1b,Сентябрь,32.0,Бухгалтер,42868.29,,3,3,18.0,,11,8.0,8.0,1233.1,26.365699545206407,19 г. 9 м.,Yes,403.5168088509092,,212.05577299259602,Обычный
851c0f2bda,Февраль,37.0,Руководитель,39159.74,2987.3216666666663,10,8,24.5,6.0,61,13.0,6.0,2258.73,34.12570493442336,,Yes,246.91502516402176,"Малые траты, большие платежи",151.44861414401805,Плохой
851c0f2bda,Март,37.0,Руководитель,38667.200000000004,2936.0316666666663,10,8,24.5,6.0,61,16.0,8.0,2258.73,33.414598040847395,8 г. 9 м.,NM,236.0775818986983,"Малые траты, большие платежи",162.28605740934154,Плохой
